ft_theta_pli_mean,ft_theta_pli_std,ft_theta_pli_min,ft_theta_clustering_coefficient,ft_theta_path_length,ft_theta_global_efficiency,ft_theta_modularity,delta_pli_mean,delta_pli_std,delta_clustering_coefficient,delta_path_length,delta_global_efficiency,delta_modularity,theta_pli_mean,theta_pli_std,theta_clustering_coefficient,theta_path_length,theta_global_efficiency,theta_modularity,alpha_pli_mean,alpha_pli_std,alpha_clustering_coefficient,alpha_path_length,alpha_global_efficiency,alpha_modularity,beta_pli_mean,beta_pli_std,beta_clustering_coefficient,beta_path_length,beta_global_efficiency,beta_modularity,gamma_pli_mean,gamma_pli_std,gamma_clustering_coefficient,gamma_path_length,gamma_global_efficiency,gamma_modularity,whole_brain_pli_mean,whole_brain_pli_max,whole_brain_clustering_coefficient,whole_brain_path_length,whole_brain_global_efficiency,whole_brain_modularity,delta_power_mean,theta_power_std,beta_power_mean
0.034070459015936,0.0230004665201503,0.0010090817356205,0.0,2.642857142857143,0.5166666666666665,0.3775510204081632,0.0373267728743753,0.0287743869940467,0.2452380952380952,2.031578947368421,0.5789473684210532,0.2315527387958352,0.0300445949025096,0.0216561374909642,0.2694047619047618,1.7647058823529411,0.4719298245614037,0.2308736985061113,0.0585466139225868,0.0366841235021508,0.2610822510822511,1.869281045751634,0.5030701754385967,0.1536894522408329,0.0392954245253118,0.0267856686296904,0.4055555555555555,1.9150326797385624,0.4978070175438597,0.2870076957899501,0.0300911942627964,0.0227820934440226,0.3605988455988456,1.871345029239766,0.5517543859649124,0.2057492077863286,0.0350019444953649,0.1312782787018651,0.1626587301587301,1.9415204678362568,0.5416666666666676,0.1828881846989588,2.630587856849121e-12,3.312834795689454e-13,4.1203442507224026e-13
0.0314477765325719,0.0240368873907373,0.0002929592135672,0.0,1.9523809523809523,0.4672619047619046,0.2244897959183673,0.0488667960712627,0.0345281218975981,0.2805050505050505,1.7794117647058822,0.4666666666666665,0.1772295156179266,0.0312537797734791,0.0247297824738658,0.3037409812409812,1.9941520467836256,0.5359649122807019,0.1727025803531009,0.0857388825404875,0.0650399780584497,0.2285714285714285,1.9824561403508767,0.5377192982456139,0.1785875961973743,0.0421146858226586,0.033277918614419,0.3509126984126983,1.7333333333333334,0.4263157894736841,0.1496152105024898,0.0317924135556168,0.0280469677534481,0.2994264069264069,1.8088235294117647,0.4671052631578949,0.1641014033499321,0.0516481953883765,0.1892191009407245,0.313611111111111,2.042105263157895,0.5785087719298252,0.2487550928021729,1.679297183819177e-12,2.7105373845580657e-13,5.724558331423068e-13
0.0488881500323185,0.0355370982765385,0.0006184694508642,0.2916666666666666,1.6666666666666667,0.3809523809523809,0.1224489795918366,0.0965257778409762,0.0841199058516346,0.271498778998779,1.75,0.4736842105263159,0.1643277501131733,0.0491015060844716,0.0380377865370333,0.3774567099567099,1.8888888888888888,0.549122807017544,0.1917157084653689,0.0962914104701224,0.0682267097866816,0.4543228993228993,1.9281045751633987,0.4978070175438595,0.1799456767768221,0.0574765418477674,0.0435588989672854,0.3268253968253968,1.7573529411764706,0.4692982456140353,0.1699864191942055,0.0327929292323612,0.0269808165154276,0.3997763347763347,2.0526315789473686,0.5782456140350879,0.2387958352195563,0.0388158965494201,0.1502229745125484,0.4711904761904762,1.9005847953216373,0.5473684210526321,0.2913082842915346,6.0779204737096304e-12,8.137266961612526e-13,7.591429950296651e-13
0.0356201202527819,0.0233129160935853,0.0029621431594023,0.25,1.8,0.3720238095238095,0.1224489795918366,0.0706507977570631,0.0598534227067333,0.3828354978354978,1.786764705882353,0.4657894736842107,0.1591217745586238,0.0301037007087557,0.0239436631763548,0.333015873015873,2.031578947368421,0.5802631578947373,0.2784065187867813,0.1257324408642125,0.0848708332062319,0.4512695637695637,1.7320261437908495,0.5210526315789474,0.1797193300135807,0.0394710287322746,0.027485900980547,0.4177886002886003,1.9526315789473685,0.5912280701754388,0.2679945676776821,0.03431014958052,0.030663370589646,0.2007539682539683,1.926315789473684,0.5947368421052639,0.2700316885468538,0.0505942275042444,0.3009993164285017,0.3545177045177045,1.7908496732026145,0.513157894736842,0.197374377546401,2.208200778078936e-12,3.0344682148689105e-13,8.350427678930911e-13
0.0316756336986798,0.0222467194031573,9.76530711890889e-05,0.2708333333333333,1.9523809523809523,0.4642857142857142,0.3163265306122449,0.0639170188744541,0.0571723649296201,0.3673881673881674,1.8014705882352944,0.4640350877192981,0.1616115889542779,0.0333241962038653,0.0246109785929115,0.3317857142857142,1.947368421052632,0.5407894736842112,0.2365323675871435,0.0830923129900856,0.0582627584256835,0.3388888888888889,1.9532163742690056,0.540350877192983,0.1998641919420552,0.031946259973034,0.0267085136534179,0.4338095238095237,1.912280701754386,0.5447368421052632,0.2261342155009452,0.0325304651883933,0.0263860504532458,0.3618398268398268,1.865497076023392,0.5526315789473689,0.240153915799004,0.0323450956743115,0.2006119592461183,0.2772294372294372,1.912280701754386,0.5460526315789478,0.2263467632412856,4.429914249917423e-12,3.9133514838791657e-13,6.27060481566198e-13
0.0256350937236976,0.0205835758173095,0.0013996940203769,0.2708333333333333,2.142857142857143,0.4494047619047618,0.3163265306122449,0.0526509382404287,0.0399537313991105,0.2026587301587301,1.9947368421052631,0.5837719298245616,0.2184246265278406,0.0269786311095273,0.0204770673355666,0.3523412698412698,1.862745098039216,0.5039473684210528,0.2541874151199638,0.0846345462301631,0.067053258105023,0.3253968253968254,1.9005847953216373,0.5473684210526316,0.213218650973291,0.0348033832506137,0.0271296460325743,0.3922005772005772,1.906432748538012,0.5464912280701751,0.2229515617926663,0.043074427059152,0.0363046292652455,0.4085256410256409,1.843137254901961,0.5070175438596495,0.1813037573562698,0.0473233635829425,0.1617460369128609,0.3067460317460317,1.9673202614379084,0.4907894736842109,0.2034857401539158,1.641839395495832e-12,1.6834730627357757e-13,5.013742621639719e-13
0.0343762061316828,0.0202121955264064,0.0012043878779987,0.2083333333333333,1.6,0.3869047619047619,0.1224489795918366,0.0578931949515075,0.0429232813498852,0.2947474747474747,1.7647058823529411,0.4684210526315792,0.1799456767768221,0.0401021759502757,0.0262560246237321,0.2285714285714285,1.912280701754386,0.5460526315789477,0.2363060208239022,0.0721316980155868,0.0660904851720392,0.5025396825396824,1.8421052631578947,0.5561403508771929,0.1980534178361249,0.0323810731215917,0.0250334687480772,0.3954545454545454,2.0210526315789474,0.5807017543859658,0.2387958352195563,0.0366012276875581,0.0304064923482293,0.4915384615384616,1.871345029239766,0.5521929824561407,0.2569035762788592,0.0888567566502598,0.3091370723609257,0.6316830065359477,1.7578947368421052,0.6228070175438597,0.1251697600724309,8.126528544860257e-10,1.0536530557046235e-09,1.2559556698910631e-11
0.0289762238022385,0.0195777970218414,0.0013996940203769,0.5,1.3,0.3035714285714285,1.1102230246251563e-16,0.0465421390134298,0.0339711275736587,0.3470634920634921,1.9789473684210528,0.5864035087719307,0.2066545948392938,0.0360446051817803,0.0281442029613915,0.408008658008658,2.068421052631579,0.5747368421052635,0.2295156179266636,0.0507030164519726,0.0330036412418884,0.2773809523809524,1.9649122807017545,0.5394736842105269,0.2505658669081032,0.041792259366557,0.0303288655922634,0.3687878787878788,1.8366013071895424,0.5070175438596493,0.186283386147578,0.0252028871044836,0.0201721040151296,0.3922222222222222,2.0210526315789474,0.5789473684210529,0.2999094612947034,0.0422553405094063,0.1416946062953679,0.2633333333333333,2.0233918128654973,0.5315789473684215,0.2424173834314169,8.290206281042642e-12,1.6409641587935665e-12,3.559845055997562e-13
0.067201588489958,0.0410904543601916,0.0036131636339962,0.2083333333333333,1.6666666666666667,0.3809523809523809,0.1224489795918366,0.0454891990563629,0.0302391721713083,0.2434199134199134,1.9239766081871343,0.5447368421052637,0.1982797645993662,0.0494136532699216,0.0343639516548394,0.3160137085137085,2.110526315789474,0.5722807017543866,0.2202354006337709,0.0750383331134711,0.0623263465523568,0.5665476190476191,1.6985294117647058,0.4763157894736841,0.1636487098234495,0.0405664563413677,0.0365323778339722,0.3085497835497836,1.8562091503267972,0.5043859649122809,0.1369397917609778,0.030040140551894,0.0362777415547857,0.4272222222222222,1.8888888888888888,0.5495614035087721,0.1419194205522861,0.0291763391748144,0.1518505256990332,0.2992185592185592,1.7712418300653594,0.5157894736842105,0.1783612494341331,2.7277208548330407e-12,7.158937926597531e-13,4.264114709430906e-13
0.0454365789804089,0.0230181785959146,0.0078447967188568,0.4583333333333333,1.6666666666666667,0.3809523809523809,0.2040816326530612,0.0480346891120252,0.0302552037490944,0.3543223443223443,2.026315789473684,0.5785087719298249,0.206758034026465,0.0312273963121403,0.0209931458809561,0.2291666666666666,1.976608187134503,0.5368421052631587,0.2238569488456315,0.0628185074841656,0.0437557759250947,0.3672619047619047,2.590643274853801,0.4839097744360905,0.2012222725215029,0.0367053909634931,0.028686226881375,0.3056746031746031,1.8562091503267972,0.504385964912281,0.1627433227704844,0.0239885625981884,0.0199993763303421,0.2907323232323232,1.9883040935672516,0.535964912280702,0.2062019013128112,0.03035879794209,0.113179909508154,0.3171428571428571,1.894736842105263,0.5482456140350883,0.2206880941602534,3.4664043100043746e-12,8.434870590206981e-13,4.233896723014075e-13
